,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
809,Toyota,Rav-4,2.5 Hybrid 4wd Feel!,2019,03,60.649 km,Híbrido,222 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-25-hybrid-4wd-feel-en-toledo.htm?id=8095037,29299
810,Toyota,Rav-4,2.5 Hybrid 2wd Feel!,2019,06,56.314 km,Híbrido,218 CV,automática continua,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-25-hybrid-2wd-feel-en-sevilla.htm?id=8118025,29450
811,Toyota,Rav-4,2.5 Hybrid 2wd Business,2019,11,19.097 km,Híbrido,218 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-25-hybrid-2wd-business-en-toledo.htm?id=8095017,31899
812,Toyota,Rav-4,2.5 Hybrid 4wd Advance,2020,07,97.714 km,Híbrido,222 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-25-hybrid-4wd-advance-en-madrid.htm?id=8031608,27490
813,Toyota,Rav-4,2.5 Hybrid 2wd Advance,2018,,129.548 km,Híbrido,197 CV,automática continua,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-25-hybrid-2wd-advance-en-ciudad+real.htm?id=8113811,19990
814,Toyota,Rav-4,2.5 Hybrid 2wd Advance,2019,,72.848 km,Híbrido,218 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-25-hybrid-2wd-advance-en-barcelona.htm?id=8111060,29490
815,Toyota,Rav-4,2.5 Hybrid 4wd Business,2019,08,57.000 km,Híbrido,222 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-25-hybrid-4wd-business-en-sevilla.htm?id=8073242,31000
816,Toyota,Rav-4,2.5 Hybrid 2wd Advance,2018,,146.000 km,Híbrido,197 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-25-hybrid-2wd-advance-en-badajoz.htm?id=8071103,19100
817,Toyota,Rav-4,2.5 Hybrid 2wd Luxury,2019,,105.000 km,Híbrido,218 CV,automática continua,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-25-hybrid-2wd-luxury-en-palmas+las.htm?id=8048771,26995
818,Toyota,Rav-4,2.5 Hybrid 2wd Advance,2020,,29.000 km,Híbrido,218 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-25-hybrid-2wd-advance-en-barcelona.htm?id=7844369,32490
819,Toyota,Rav-4,2.5 Hybrid 2wd Advance,2017,10,90.691 km,Híbrido,197 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-25-hybrid-2wd-advance-en-toledo.htm?id=8097120,22099
820,Toyota,Rav-4,2.0 Advance 4x2,2009,06,220.000 km,Gasolina,158 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-20-advance-4x2-en-tarragona.htm?id=8078308,9499
821,Toyota,Rav-4,2.5 Hybrid 2wd Feel!,2019,08,129.954 km,Híbrido,218 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-25-hybrid-2wd-feel-en-sevilla.htm?id=7999867,27890
822,Toyota,Rav-4,2.2d-4d Premium,2007,07,211.680 km,Diesel,177 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-22d-4d-premium-en-badajoz.htm?id=7825478,9900
823,Toyota,Rav-4,2.5 Plug-in Hybrid  4wd Advance,2024,01,0 km,Híbrido,306 CV,automática continua,5 puertas,NEGRO COSMO,Profesional,https://www.coches.com/km0/seminuevo-toyota-rav-4-25-plug-in-hybrid--4wd-advance-en-huelva.htm?id=7651267,50250
824,Toyota,Rav-4,2.5 Plug-in Hybrid  4wd Advance,2024,01,NUEVO,Híbrido,306 CV,automática continua,5 puertas,NEGRO COSMO,Profesional,https://www.coches.com/km0/seminuevo-toyota-rav-4-25-plug-in-hybrid--4wd-advance-en-huelva.htm?id=6659622,50250
825,Toyota,Rav-4,2.5 Hybrid 2wd Advance,2024,01,NUEVO,Híbrido,218 CV,automática continua,5 puertas,URBAN KHAKI,Profesional,https://www.coches.com/km0/seminuevo-toyota-rav-4-25-hybrid-2wd-advance-en-huelva.htm?id=5787981,38000
826,Toyota,Rav-4,2.5 Plug-in Hybrid  4wd Advance,2023,,NUEVO,Híbrido,306 CV,automática continua,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-toyota-rav-4-25-plug-in-hybrid--4wd-advance-en-alava.htm?id=8062492,55900
827,Toyota,Rav-4,2.5 Hybrid 2wd Advance,2019,,126.500 km,Híbrido,218 CV,automática continua,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-25-hybrid-2wd-advance-en-alava.htm?id=8062447,27980
828,Toyota,Rav-4,150d Advance Awd,2013,,187.709 km,Diesel,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-rav-4-150d-advance-awd-en-madrid.htm?id=8096792,14350
