,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
1428,Kia,Sportage,1.7crdi Emotion 4x2 17´´,2014,,158.693 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-emotion-4x2-17-en-pontevedra.htm?id=8078266,12300
1429,Kia,Sportage,1.6 Gdi Concept 4x2 132,2021,,70.000 km,Gasolina,132 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-concept-4x2-132-en-alicante.htm?id=8058329,23900
1430,Kia,Sportage,1.6 T-gdi Concept,2022,05,17.952 km,Gasolina,150 CV,manual,5 puertas,Gris oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-concept-en-sevilla.htm?id=8116792,24490
1431,Kia,Sportage,1.6 T-gdi Hev Drive,2022,12,12.259 km,Híbrido,230 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8109759,29900
1432,Kia,Sportage,1.6 T-gdi Gt Line Essential 4x2 177,2019,,49.000 km,Gasolina,177 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-gt-line-essential-4x2-177-en-palmas+las.htm?id=8066852,21490
1433,Kia,Sportage,1.7crdi Vgt Eco-dynamics Concept 4x2,2018,08,56.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-vgt-eco-dynamics-concept-4x2-en-madrid.htm?id=8011265,16995
1434,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,03,1 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996188,35990
1435,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,05,4.462 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996187,35990
1436,Kia,Sportage,1.6 T-gdi Concept,2022,,7.700 km,Gasolina,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-concept-en-barcelona.htm?id=7564421,25490
1437,Kia,Sportage,1.6 Mhev Concept 4x2 115,2019,01,60.190 km,Diesel,115 CV,manual,5 puertas,BLUE FLAME CB3LE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-concept-4x2-115-en-cadiz.htm?id=8112346,18500
1438,Kia,Sportage,1.6 T-gdi Drive,2022,07,61.578 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8099334,23590
1439,Kia,Sportage,1.6 T-gdi Hev Drive,2023,02,13.700 km,Híbrido,230 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8097873,33200
1440,Kia,Sportage,1.6 T-gdi Drive,2022,07,58.029 km,Gasolina,150 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8089646,23590
1441,Kia,Sportage,1.6 T-gdi Drive,2022,08,60.954 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8078895,22990
1442,Kia,Sportage,2.0 Concept,2008,,75.000 km,Gasolina,142 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-20-concept-en-malaga.htm?id=8046881,6999
1443,Kia,Sportage,1.6 Mhev Drive 4x2 136,2021,07,75.893 km,Diesel,136 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-drive-4x2-136-en-madrid.htm?id=8026669,19990
1444,Kia,Sportage,1.6 T-gdi Hev Tech 4x4,2022,09,11.618 km,Híbrido,230 CV,automática secuencial,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-tech-4x4-en-barcelona.htm?id=7827585,35490
1445,Kia,Sportage,1.6 Crdi Drive 4x2 115,2019,01,77.240 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-crdi-drive-4x2-115-en-valencia.htm?id=8089332,19600
1446,Kia,Sportage,1.6 Gdi Drive 4x2,2017,01,103.653 km,Gasolina,135 CV,manual,5 puertas,Burdeos,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-drive-4x2-en-girona.htm?id=8066905,15900
1447,Kia,Sportage,1.7crdi Eco-dynamics X-tech 4x2,2016,,108.000 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-eco-dynamics-x-tech-4x2-en-murcia.htm?id=7064280,19800
1448,Kia,Sportage,1.7crdi Emotion 4x2 17´´,2014,,158.693 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-emotion-4x2-17-en-pontevedra.htm?id=8078266,12300
1449,Kia,Sportage,1.6 Gdi Concept 4x2 132,2021,,70.000 km,Gasolina,132 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-concept-4x2-132-en-alicante.htm?id=8058329,23900
1450,Kia,Sportage,1.6 T-gdi Concept,2022,05,17.952 km,Gasolina,150 CV,manual,5 puertas,Gris oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-concept-en-sevilla.htm?id=8116792,24490
1451,Kia,Sportage,1.6 T-gdi Hev Drive,2022,12,12.259 km,Híbrido,230 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8109759,29900
1452,Kia,Sportage,1.6 T-gdi Gt Line Essential 4x2 177,2019,,49.000 km,Gasolina,177 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-gt-line-essential-4x2-177-en-palmas+las.htm?id=8066852,21490
1453,Kia,Sportage,1.7crdi Vgt Eco-dynamics Concept 4x2,2018,08,56.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-vgt-eco-dynamics-concept-4x2-en-madrid.htm?id=8011265,16995
1454,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,03,1 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996188,35990
1455,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,05,4.462 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996187,35990
1456,Kia,Sportage,1.6 T-gdi Concept,2022,,7.700 km,Gasolina,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-concept-en-barcelona.htm?id=7564421,25490
1457,Kia,Sportage,1.6 Mhev Concept 4x2 115,2019,01,60.190 km,Diesel,115 CV,manual,5 puertas,BLUE FLAME CB3LE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-concept-4x2-115-en-cadiz.htm?id=8112346,18500
1458,Kia,Sportage,1.6 T-gdi Drive,2022,07,61.578 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8099334,23590
1459,Kia,Sportage,1.6 T-gdi Hev Drive,2023,02,13.700 km,Híbrido,230 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8097873,33200
1460,Kia,Sportage,1.6 T-gdi Drive,2022,07,58.029 km,Gasolina,150 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8089646,23590
1461,Kia,Sportage,1.6 T-gdi Drive,2022,08,60.954 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8078895,22990
1462,Kia,Sportage,2.0 Concept,2008,,75.000 km,Gasolina,142 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-20-concept-en-malaga.htm?id=8046881,6999
1463,Kia,Sportage,1.6 Mhev Drive 4x2 136,2021,07,75.893 km,Diesel,136 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-drive-4x2-136-en-madrid.htm?id=8026669,19990
1464,Kia,Sportage,1.6 T-gdi Hev Tech 4x4,2022,09,11.618 km,Híbrido,230 CV,automática secuencial,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-tech-4x4-en-barcelona.htm?id=7827585,35490
1465,Kia,Sportage,1.6 Crdi Drive 4x2 115,2019,01,77.240 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-crdi-drive-4x2-115-en-valencia.htm?id=8089332,19600
1466,Kia,Sportage,1.6 Gdi Drive 4x2,2017,01,103.653 km,Gasolina,135 CV,manual,5 puertas,Burdeos,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-drive-4x2-en-girona.htm?id=8066905,15900
1467,Kia,Sportage,1.7crdi Eco-dynamics X-tech 4x2,2016,,108.000 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-eco-dynamics-x-tech-4x2-en-murcia.htm?id=7064280,19800
1468,Kia,Sportage,1.7crdi Emotion 4x2 17´´,2014,,158.693 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-emotion-4x2-17-en-pontevedra.htm?id=8078266,12300
1469,Kia,Sportage,1.6 Gdi Concept 4x2 132,2021,,70.000 km,Gasolina,132 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-concept-4x2-132-en-alicante.htm?id=8058329,23900
1470,Kia,Sportage,1.6 T-gdi Concept,2022,05,17.952 km,Gasolina,150 CV,manual,5 puertas,Gris oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-concept-en-sevilla.htm?id=8116792,24490
1471,Kia,Sportage,1.6 T-gdi Hev Drive,2022,12,12.259 km,Híbrido,230 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8109759,29900
1472,Kia,Sportage,1.6 T-gdi Gt Line Essential 4x2 177,2019,,49.000 km,Gasolina,177 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-gt-line-essential-4x2-177-en-palmas+las.htm?id=8066852,21490
1473,Kia,Sportage,1.7crdi Vgt Eco-dynamics Concept 4x2,2018,08,56.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-vgt-eco-dynamics-concept-4x2-en-madrid.htm?id=8011265,16995
1474,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,03,1 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996188,35990
1475,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,05,4.462 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996187,35990
1476,Kia,Sportage,1.6 T-gdi Concept,2022,,7.700 km,Gasolina,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-concept-en-barcelona.htm?id=7564421,25490
1477,Kia,Sportage,1.6 Mhev Concept 4x2 115,2019,01,60.190 km,Diesel,115 CV,manual,5 puertas,BLUE FLAME CB3LE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-concept-4x2-115-en-cadiz.htm?id=8112346,18500
1478,Kia,Sportage,1.6 T-gdi Drive,2022,07,61.578 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8099334,23590
1479,Kia,Sportage,1.6 T-gdi Hev Drive,2023,02,13.700 km,Híbrido,230 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8097873,33200
1480,Kia,Sportage,1.6 T-gdi Drive,2022,07,58.029 km,Gasolina,150 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8089646,23590
1481,Kia,Sportage,1.6 T-gdi Drive,2022,08,60.954 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8078895,22990
1482,Kia,Sportage,2.0 Concept,2008,,75.000 km,Gasolina,142 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-20-concept-en-malaga.htm?id=8046881,6999
1483,Kia,Sportage,1.6 Mhev Drive 4x2 136,2021,07,75.893 km,Diesel,136 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-drive-4x2-136-en-madrid.htm?id=8026669,19990
1484,Kia,Sportage,1.6 T-gdi Hev Tech 4x4,2022,09,11.618 km,Híbrido,230 CV,automática secuencial,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-tech-4x4-en-barcelona.htm?id=7827585,35490
1485,Kia,Sportage,1.6 Crdi Drive 4x2 115,2019,01,77.240 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-crdi-drive-4x2-115-en-valencia.htm?id=8089332,19600
1486,Kia,Sportage,1.6 Gdi Drive 4x2,2017,01,103.653 km,Gasolina,135 CV,manual,5 puertas,Burdeos,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-drive-4x2-en-girona.htm?id=8066905,15900
1487,Kia,Sportage,1.7crdi Eco-dynamics X-tech 4x2,2016,,108.000 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-eco-dynamics-x-tech-4x2-en-murcia.htm?id=7064280,19800
1488,Kia,Sportage,1.7crdi Emotion 4x2 17´´,2014,,158.693 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-emotion-4x2-17-en-pontevedra.htm?id=8078266,12300
1489,Kia,Sportage,1.6 Gdi Concept 4x2 132,2021,,70.000 km,Gasolina,132 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-concept-4x2-132-en-alicante.htm?id=8058329,23900
1490,Kia,Sportage,1.6 T-gdi Concept,2022,05,17.952 km,Gasolina,150 CV,manual,5 puertas,Gris oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-concept-en-sevilla.htm?id=8116792,24490
1491,Kia,Sportage,1.6 T-gdi Hev Drive,2022,12,12.259 km,Híbrido,230 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8109759,29900
1492,Kia,Sportage,1.6 T-gdi Gt Line Essential 4x2 177,2019,,49.000 km,Gasolina,177 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-gt-line-essential-4x2-177-en-palmas+las.htm?id=8066852,21490
1493,Kia,Sportage,1.7crdi Vgt Eco-dynamics Concept 4x2,2018,08,56.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-vgt-eco-dynamics-concept-4x2-en-madrid.htm?id=8011265,16995
1494,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,03,1 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996188,35990
1495,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,05,4.462 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996187,35990
1496,Kia,Sportage,1.6 T-gdi Concept,2022,,7.700 km,Gasolina,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-concept-en-barcelona.htm?id=7564421,25490
1497,Kia,Sportage,1.6 Mhev Concept 4x2 115,2019,01,60.190 km,Diesel,115 CV,manual,5 puertas,BLUE FLAME CB3LE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-concept-4x2-115-en-cadiz.htm?id=8112346,18500
1498,Kia,Sportage,1.6 T-gdi Drive,2022,07,61.578 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8099334,23590
1499,Kia,Sportage,1.6 T-gdi Hev Drive,2023,02,13.700 km,Híbrido,230 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8097873,33200
1500,Kia,Sportage,1.6 T-gdi Drive,2022,07,58.029 km,Gasolina,150 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8089646,23590
1501,Kia,Sportage,1.6 T-gdi Drive,2022,08,60.954 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8078895,22990
1502,Kia,Sportage,2.0 Concept,2008,,75.000 km,Gasolina,142 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-20-concept-en-malaga.htm?id=8046881,6999
1503,Kia,Sportage,1.6 Mhev Drive 4x2 136,2021,07,75.893 km,Diesel,136 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-drive-4x2-136-en-madrid.htm?id=8026669,19990
1504,Kia,Sportage,1.6 T-gdi Hev Tech 4x4,2022,09,11.618 km,Híbrido,230 CV,automática secuencial,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-tech-4x4-en-barcelona.htm?id=7827585,35490
1505,Kia,Sportage,1.6 Crdi Drive 4x2 115,2019,01,77.240 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-crdi-drive-4x2-115-en-valencia.htm?id=8089332,19600
1506,Kia,Sportage,1.6 Gdi Drive 4x2,2017,01,103.653 km,Gasolina,135 CV,manual,5 puertas,Burdeos,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-drive-4x2-en-girona.htm?id=8066905,15900
1507,Kia,Sportage,1.7crdi Eco-dynamics X-tech 4x2,2016,,108.000 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-eco-dynamics-x-tech-4x2-en-murcia.htm?id=7064280,19800
1508,Kia,Sportage,1.7crdi Emotion 4x2 17´´,2014,,158.693 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-emotion-4x2-17-en-pontevedra.htm?id=8078266,12300
1509,Kia,Sportage,1.6 Gdi Concept 4x2 132,2021,,70.000 km,Gasolina,132 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-gdi-concept-4x2-132-en-alicante.htm?id=8058329,23900
1510,Kia,Sportage,1.6 T-gdi Concept,2022,05,17.952 km,Gasolina,150 CV,manual,5 puertas,Gris oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-concept-en-sevilla.htm?id=8116792,24490
1511,Kia,Sportage,1.6 T-gdi Hev Drive,2022,12,12.259 km,Híbrido,230 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8109759,29900
1512,Kia,Sportage,1.6 T-gdi Gt Line Essential 4x2 177,2019,,49.000 km,Gasolina,177 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-gt-line-essential-4x2-177-en-palmas+las.htm?id=8066852,21490
1513,Kia,Sportage,1.7crdi Vgt Eco-dynamics Concept 4x2,2018,08,56.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-17crdi-vgt-eco-dynamics-concept-4x2-en-madrid.htm?id=8011265,16995
1514,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,03,1 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996188,35990
1515,Kia,Sportage,1.6 T-gdi Phev Tech 4x4,2023,05,4.462 km,Híbrido,265 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-phev-tech-4x4-en-barcelona.htm?id=7996187,35990
1516,Kia,Sportage,1.6 T-gdi Concept,2022,,7.700 km,Gasolina,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-kia-sportage-16-t-gdi-concept-en-barcelona.htm?id=7564421,25490
1517,Kia,Sportage,1.6 Mhev Concept 4x2 115,2019,01,60.190 km,Diesel,115 CV,manual,5 puertas,BLUE FLAME CB3LE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-mhev-concept-4x2-115-en-cadiz.htm?id=8112346,18500
1518,Kia,Sportage,1.6 T-gdi Drive,2022,07,61.578 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8099334,23590
1519,Kia,Sportage,1.6 T-gdi Hev Drive,2023,02,13.700 km,Híbrido,230 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-hev-drive-en-sevilla.htm?id=8097873,33200
1520,Kia,Sportage,1.6 T-gdi Drive,2022,07,58.029 km,Gasolina,150 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8089646,23590
1521,Kia,Sportage,1.6 T-gdi Drive,2022,08,60.954 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sportage-16-t-gdi-drive-en-madrid.htm?id=8078895,22990
